Date Of Stop,Month,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Personal Injury,Property Damage,Fatal,Commercial License,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
7/12/2017,Jul-17,22:53:00,MCP,"5th district, Germantown",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,WOODFIELD RD / MAIN STREET,39.289595,-77.20116,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2000,FORD,EXPLORER,GOLD,Citation,21-902(a1),Transportation Article,No,WHITE,M,MONROVIA,MD,MD,A - Marked Patrol,"(39.289595, -77.20116)"
7/12/2017,Jul-17,22:53:00,MCP,"5th district, Germantown",DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,WOODFIELD RD / MAIN STREET,39.289595,-77.20116,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2000,FORD,EXPLORER,GOLD,Citation,21-902(a2),Transportation Article,No,WHITE,M,MONROVIA,MD,MD,A - Marked Patrol,"(39.289595, -77.20116)"
7/12/2017,Jul-17,22:53:00,MCP,"5th district, Germantown",DRIVING WHILE IMPAIRED BY ALCOHOL,WOODFIELD RD / MAIN STREET,39.289595,-77.20116,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2000,FORD,EXPLORER,GOLD,Citation,21-902(b1),Transportation Article,No,WHITE,M,MONROVIA,MD,MD,A - Marked Patrol,"(39.289595, -77.20116)"
7/12/2017,Jul-17,22:53:00,MCP,"5th district, Germantown",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 65 MPH IN A POSTED 35 MPH ZONE,WOODFIELD RD / MAIN STREET,39.289595,-77.20116,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2000,FORD,EXPLORER,GOLD,Citation,21-801.1,Transportation Article,No,WHITE,M,MONROVIA,MD,MD,A - Marked Patrol,"(39.289595, -77.20116)"
7/12/2017,Jul-17,22:53:00,MCP,"5th district, Germantown",DRIVING VEHICLE IN VIOLATION OF RESTRICTED LICENSE REQUIREMENT,WOODFIELD RD / MAIN STREET,39.289595,-77.20116,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2000,FORD,EXPLORER,GOLD,Citation,16-113(h),Transportation Article,No,WHITE,M,MONROVIA,MD,MD,A - Marked Patrol,"(39.289595, -77.20116)"
7/12/2017,Jul-17,22:53:00,MCP,"5th district, Germantown",DRIVING MOTOR VEHICLE WITH ALCOHOL IN BLOOD IN VIOLATION OF RESTRICTION,WOODFIELD RD / MAIN STREET,39.289595,-77.20116,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,02 - Automobile,2000,FORD,EXPLORER,GOLD,Citation,16-113(j),Transportation Article,No,WHITE,M,MONROVIA,MD,MD,A - Marked Patrol,"(39.289595, -77.20116)"
7/12/2017,Jul-17,7:06:00,MCP,Headquarters and Special Operations,DRIVING A MOTOR VEH WITHOUT A VALID MEDICAL EXAMINERS CERTIFICATE IN POSSESSION,23730 FREDERICK ROAD,39.24615667,-77.29016,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,MD,06 - Heavy Duty Truck,2012,FRHT,TK,WHITE,Warning,11-391.41(a),Maryland Rules,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.2461566666667, -77.29016)"
7/12/2017,Jul-17,23:30:00,MCP,Headquarters and Special Operations,KNOWINGLY DRIVING UNINSURED VEHICLE,SB I270 / COMUS RD,39.23530933,-77.28799883,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,TX,02 - Automobile,1995,TOYT,COROLLA  4S,GREEN,Citation,17-107,Transportation Article,No,OTHER,M,BOYDS,MD,MD,B - Unmarked Patrol,"(39.2353093333333, -77.2879988333333)"
7/12/2017,Jul-17,23:30:00,MCP,Headquarters and Special Operations,OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,SB I270 / COMUS RD,39.23530933,-77.28799883,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,TX,02 - Automobile,1995,TOYT,COROLLA  4S,GREEN,Citation,13-401(b1),Transportation Article,No,OTHER,M,BOYDS,MD,MD,B - Unmarked Patrol,"(39.2353093333333, -77.2879988333333)"
7/12/2017,Jul-17,23:30:00,MCP,Headquarters and Special Operations,EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,SB I270 / COMUS RD,39.23530933,-77.28799883,No Accident,No Personal Injury,No Property Damage,Not Fatal,No Commercial License,Not Alchol Related,Not in a Work Zone,TX,02 - Automobile,1995,TOYT,COROLLA  4S,GREEN,Warning,21-801.1,Transportation Article,No,OTHER,M,BOYDS,MD,MD,B - Unmarked Patrol,"(39.2353093333333, -77.2879988333333)"
